,MSFT,UNH
,NVDA,PEP
Date,,
2022-10-04,1.1303281240265175,1.6822634062686763
2022-10-05,1.1383457286027048,2.097181219318006
2022-10-06,0.9451561427442591,2.3378224379753303
2022-10-07,0.29876989506326823,1.8631086701068758
2022-10-10,0.03443983044157258,1.5230062505882438
2022-10-11,-0.29681085594664824,1.4172636584117844
2022-10-12,-0.2151954800930158,0.07294723980599672
2022-10-13,0.36368608993217255,-0.4691532658221657
2022-10-14,0.21438299609081332,0.5698926459366236
2022-10-17,0.7280557827693253,0.5007963092558254
2022-10-18,0.7793961486003587,0.054051059045959
2022-10-19,0.5334099264498442,0.29785837466817816
2022-10-20,0.42087907424506926,0.7034547456612261
2022-10-21,0.8567340492640201,1.0254336937887132
2022-10-24,1.2876286648535145,0.499021967793249
2022-10-25,1.253060371474599,0.31299768585641585
2022-10-26,-0.44775481597768685,0.30089191314291824
2022-10-27,-1.0546125414350593,0.27043084275173945
2022-10-28,-0.5244825357932347,0.07466631508211755
2022-10-31,-0.7042978853764102,0.3986458504546255
2022-11-01,-1.1201177742483535,0.17114914188868602
2022-11-02,-1.733730889032213,0.47884463845928965
2022-11-03,-2.423025376664569,0.5792525713136452
2022-11-04,-2.1310244958197293,0.10950574727835967
2022-11-07,-1.5738628920402378,0.16642371631103006
2022-11-08,-1.643806306022727,0.4669835380173795
2022-11-09,-1.6110379865815792,0.2792504441787902
2022-11-10,-0.8963545884997559,-0.1721147956021835
2022-11-11,-0.8124292286548815,-0.5468111233258697
2022-11-14,-1.3422035161900123,-0.6993192166213269
2022-11-15,-1.5084508578632274,-1.3257134242352293
2022-11-16,-1.041915144777958,-1.1284591499111947
2022-11-17,-0.9164626060767388,-1.2776256728585238
2022-11-18,-0.8119236006571949,-0.8043622901878805
2022-11-21,-0.678450199594532,-2.1361931774381437
2022-11-22,-0.7875649836611842,-1.8462929466546596
2022-11-23,-0.8048474151886927,-1.564267880491354
2022-11-25,-0.6743918767062862,-0.9774574025889643
2022-11-28,-0.9925047085251145,-1.200195062014933
2022-11-29,-1.0285539925896439,-1.1544532069298488
2022-11-30,-0.28656755381940485,-0.7506919142052002
2022-12-01,-0.44968822138415526,-1.599176078372863
2022-12-02,-0.2721114974900974,-1.512199887918879
2022-12-05,-0.5993433321645554,-1.0540777784712232
2022-12-06,-0.752424745260659,-0.5421911222867146
2022-12-07,-0.9009582882584763,-0.4728420311997101
2022-12-08,-1.1888440025084515,-0.5425852400288306
2022-12-09,-1.2903888712737237,-0.8422342497352037
2022-12-12,-0.8889409936552077,-0.6835124197088766
2022-12-13,-0.7539019604705848,-1.0452182553626561
2022-12-14,-0.5014839274232142,-0.9362064638612219
2022-12-15,-0.9083339450121974,-0.8477145923901965
2022-12-16,-1.1218005422300896,-1.0645670692256248
2022-12-19,-1.3631936745131332,-1.269586769556109
2022-12-20,-1.1352356864259188,-1.4169623743115076
2022-12-21,-1.1083029560718964,-1.3047850589441268
2022-12-22,-1.0742566866775252,-1.0452131882219908
2022-12-23,-0.946465630242183,-1.0683989745664075
2022-12-27,-0.5139650350798484,-1.1964707916407344
2022-12-28,-0.7064268948210212,-1.109291331723698
2022-12-29,-0.3837051987264935,-1.083844982296582
2022-12-30,-0.5074089999283089,-0.8048230622869291
